Time [s],Packet ID,MOSI,MISO
0.0196771200,0,0x00000004,0x30000C46
0.0197057600,1,0x11C003D4,0x30000006
0.0197338000,2,0x63200010,0x30000006
0.0197617400,3,0x6300000C,0x30000006
0.0197901600,4,0x09C00004,0x30002211
0.0198185400,5,0x0AC00030,0x30000006
0.0212950000,6,0x07800014,0x30200007
0.0212991000,7,0x0800001C,0x30200007
0.0213031800,8,0x00000004,0x30200C47
0.0213072800,9,0x00000004,0x30200C47
0.0213113800,10,0x00000004,0x30200C47
0.0213154600,11,0x00000004,0x30200C47
0.0213195600,12,0x00000004,0x30200C47
0.0213236600,13,0x00000004,0x30200C47
0.0213277400,14,0x00000004,0x30200C47
0.0213318400,15,0x00000004,0x30200C47
0.0213359400,16,0x00000004,0x30200C47
0.0213702400,17,0x00000004,0x30200C47
0.0213784400,18,0x00000004,0x30200C47
0.0214471200,19,0x09C00004,0x30202210
0.0214635000,20,0x05400014,0x30202707
0.0214676000,21,0x05400014,0x30202707
0.0214716800,22,0x05400014,0x30202707
0.0214921600,23,0x00000004,0x30200C47
0.0214962400,24,0x00000004,0x30200C47
0.0215003400,25,0x00000004,0x30200C47
0.0215044400,26,0x00000004,0x30200C47
0.0217943600,27,0x07800014,0x30200007
0.0217984600,28,0x0800001C,0x30200007
0.0218025600,29,0x00000004,0x30200C47
0.0218066400,30,0x00000004,0x30200C47
0.0218107400,31,0x00000004,0x30200C47
0.0218148400,32,0x00000004,0x30200C47
0.0218189200,33,0x00000004,0x30200C47
0.0218230200,34,0x00000004,0x30200C47
0.0218271200,35,0x00000004,0x30200C47
0.0218312000,36,0x00000004,0x30200C47
0.0218353000,37,0x00000004,0x30200C47
0.0218696200,38,0x00000004,0x30200C47
0.0218778000,39,0x00000004,0x30200C47
0.0219471600,40,0x09C00004,0x30202210
0.0219635400,41,0x05400014,0x30202707
0.0219676400,42,0x05400014,0x30202707
0.0219717400,43,0x05400014,0x30202707
0.0219922000,44,0x00000004,0x30200C47
0.0219963000,45,0x00000004,0x30200C47
0.0220003800,46,0x00000004,0x30200C47
0.0220044800,47,0x00000004,0x30200C47
0.0222948600,48,0x07800014,0x30200007
0.0222989600,49,0x0800001C,0x30200007
0.0223030600,50,0x00000004,0x30200C47
0.0223071600,51,0x00000004,0x30200C47
0.0223112400,52,0x00000004,0x30200C47
0.0223153400,53,0x00000004,0x30200C47
0.0223194400,54,0x00000004,0x30200C47
0.0223235200,55,0x00000004,0x30200C47
0.0223276200,56,0x00000004,0x30200C47
0.0223317200,57,0x00000004,0x30200C47
0.0223358000,58,0x00000004,0x30200C47
0.0223701200,59,0x00000004,0x30200C47
0.0223783000,60,0x00000004,0x30200C47
0.0224471600,61,0x09C00004,0x30202210
0.0224635400,62,0x05400014,0x30202707
0.0224676400,63,0x05400014,0x30202707
0.0224717200,64,0x05400014,0x30202707
0.0224922000,65,0x00000004,0x30200C47
0.0224962800,66,0x00000004,0x30200C47
0.0225003800,67,0x00000004,0x30200C47
0.0225044800,68,0x00000004,0x30200C47
0.0227943800,69,0x07800014,0x30200007
0.0227984600,70,0x0800001C,0x30200007
0.0228025600,71,0x00000004,0x30200C47
0.0228066600,72,0x00000004,0x30200C47
0.0228107400,73,0x00000004,0x30200C47
0.0228148400,74,0x00000004,0x30200C47
0.0228189400,75,0x00000004,0x30200C47
0.0228230200,76,0x00000004,0x30200C47
0.0228271200,77,0x00000004,0x30200C47
0.0228312200,78,0x00000004,0x30200C47
0.0228353000,79,0x00000004,0x30200C47
0.0228696200,80,0x00000004,0x30200C47
0.0228778000,81,0x00000004,0x30200C47
0.0229470600,82,0x09C00004,0x30202210
0.0229634400,83,0x05400014,0x30202707
0.0229675200,84,0x05400014,0x30202707
0.0229716200,85,0x05400014,0x30202707
0.0229921000,86,0x00000004,0x30200C47
0.0229961800,87,0x00000004,0x30200C47
0.0230002800,88,0x00000004,0x30200C47
0.0230043800,89,0x00000004,0x30200C47
0.0232944400,90,0x07800014,0x30200007
0.0232985400,91,0x0800001C,0x30200007
0.0233026400,92,0x00000004,0x30200C47
0.0233067200,93,0x00000004,0x30200C47
0.0233108200,94,0x00000004,0x30200C47
0.0233149200,95,0x00000004,0x30200C47
0.0233190000,96,0x00000004,0x30200C47
0.0233231000,97,0x00000004,0x30200C47
0.0233272000,98,0x00000004,0x30200C47
0.0233313000,99,0x00000004,0x30200C47
0.0233353800,100,0x00000004,0x30200C47
0.0233697000,101,0x00000004,0x30200C47
0.0233778800,102,0x00000004,0x30200C47
0.0234471600,103,0x09C00004,0x30202210
0.0234635400,104,0x05400014,0x30202707
0.0234676200,105,0x05400014,0x30202707
0.0234717200,106,0x05400014,0x30202707
0.0234921800,107,0x00000004,0x30200C47
0.0234962800,108,0x00000004,0x30200C47
0.0235003800,109,0x00000004,0x30200C47
0.0235044800,110,0x00000004,0x30200C47
0.0237943800,111,0x07800014,0x30200007
0.0237984800,112,0x0800001C,0x30200007
0.0238025600,113,0x00000004,0x30200C47
0.0238066600,114,0x00000004,0x30200C47
0.0238107600,115,0x00000004,0x30200C47
0.0238148400,116,0x00000004,0x30200C47
0.0238189400,117,0x00000004,0x30200C47
0.0238230400,118,0x00000004,0x30200C47
0.0238271200,119,0x00000004,0x30200C47
0.0238312200,120,0x00000004,0x30200C47
0.0238353200,121,0x00000004,0x30200C47
0.0238696200,122,0x00000004,0x30200C47
0.0238778200,123,0x00000004,0x30200C47
0.0239470600,124,0x09C00004,0x30202210
0.0239634400,125,0x05400014,0x30202707
0.0239675200,126,0x05400014,0x30202707
0.0239716200,127,0x05400014,0x30202707
0.0239920800,128,0x00000004,0x30200C47
0.0239961800,129,0x00000004,0x30200C47
0.0240002800,130,0x00000004,0x30200C47
0.0240043600,131,0x00000004,0x30200C47
0.0242944600,132,0x07800014,0x30200007
0.0242985400,133,0x0800001C,0x30200007
0.0243026400,134,0x00000004,0x30200C47
0.0243067400,135,0x00000004,0x30200C47
0.0243108200,136,0x00000004,0x30200C47
0.0243149200,137,0x00000004,0x30200C47
0.0243190200,138,0x00000004,0x30200C47
0.0243231000,139,0x00000004,0x30200C47
0.0243272000,140,0x00000004,0x30200C47
0.0243313000,141,0x00000004,0x30200C47
0.0243354000,142,0x00000004,0x30200C47
0.0243697000,143,0x00000004,0x30200C47
0.0243779000,144,0x00000004,0x30200C47
0.0244472000,145,0x09C00004,0x30202210
0.0244635600,146,0x05400014,0x30202707
0.0244676600,147,0x05400014,0x30202707
0.0244717600,148,0x05400014,0x30202707
0.0244922200,149,0x00000004,0x30200C47
0.0244963200,150,0x00000004,0x30200C47
0.0245004200,151,0x00000004,0x30200C47
0.0245045000,152,0x00000004,0x30200C47
0.0247943800,153,0x07800014,0x30200007
0.0247984800,154,0x0800001C,0x30200007
0.0248025800,155,0x00000004,0x30200C47
0.0248066600,156,0x00000004,0x30200C47
0.0248107600,157,0x00000004,0x30200C47
0.0248148600,158,0x00000004,0x30200C47
0.0248189400,159,0x00000004,0x30200C47
0.0248230400,160,0x00000004,0x30200C47
0.0248271400,161,0x00000004,0x30200C47
0.0248312200,162,0x00000004,0x30200C47
0.0248353200,163,0x00000004,0x30200C47
0.0248696400,164,0x00000004,0x30200C47
0.0248778200,165,0x00000004,0x30200C47
0.0249469800,166,0x09C00004,0x30202210
0.0249633600,167,0x05400014,0x30202707
0.0249674400,168,0x05400014,0x30202707
0.0249715400,169,0x05400014,0x30202707
0.0249920000,170,0x00000004,0x30200C47
0.0249961000,171,0x00000004,0x30200C47
0.0250002000,172,0x00000004,0x30200C47
0.0250043000,173,0x00000004,0x30200C47
0.0252950800,174,0x07800014,0x30200007
0.0252991800,175,0x0800001C,0x30200007
0.0253032800,176,0x00000004,0x30200C47
0.0253073600,177,0x00000004,0x30200C47
0.0253114600,178,0x00000004,0x30200C47
0.0253155600,179,0x00000004,0x30200C47
0.0253196400,180,0x00000004,0x30200C47
0.0253237400,181,0x00000004,0x30200C47
0.0253278400,182,0x00000004,0x30200C47
0.0253319200,183,0x00000004,0x30200C47
0.0253360200,184,0x00000004,0x30200C47
0.0253703400,185,0x00000004,0x30200C47
0.0253785200,186,0x00000004,0x30200C47
0.0254471400,187,0x09C00004,0x30202210
0.0254635200,188,0x05400014,0x30202707
0.0254676200,189,0x05400014,0x30202707
0.0254717200,190,0x05400014,0x30202707
0.0254921800,191,0x00000004,0x30200C47
0.0254962800,192,0x00000004,0x30200C47
0.0255003600,193,0x00000004,0x30200C47
0.0255044600,194,0x00000004,0x30200C47
0.0257944000,195,0x07800014,0x30200007
0.0257984800,196,0x0800001C,0x30200007
0.0258025800,197,0x00000004,0x30200C47
0.0258066800,198,0x00000004,0x30200C47
0.0258107600,199,0x00000004,0x30200C47
0.0258148600,200,0x00000004,0x30200C47
0.0258189600,201,0x00000004,0x30200C47
0.0258230400,202,0x00000004,0x30200C47
0.0258271400,203,0x00000004,0x30200C47
0.0258312400,204,0x00000004,0x30200C47
0.0258353200,205,0x00000004,0x30200C47
0.0258696400,206,0x00000004,0x30200C47
0.0258778200,207,0x00000004,0x30200C47
0.0259470400,208,0x09C00004,0x30202210
0.0259634200,209,0x05400014,0x30202707
0.0259675000,210,0x05400014,0x30202707
0.0259716000,211,0x05400014,0x30202707
0.0259920600,212,0x00000004,0x30200C47
0.0259961600,213,0x00000004,0x30200C47
0.0260002600,214,0x00000004,0x30200C47
0.0260043400,215,0x00000004,0x30200C47
0.0262944600,216,0x07800014,0x30200007
0.0262985600,217,0x0800001C,0x30200007
0.0263026600,218,0x00000004,0x30200C47
0.0263067400,219,0x00000004,0x30200C47
0.0263108400,220,0x00000004,0x30200C47
0.0263149400,221,0x00000004,0x30200C47
0.0263190200,222,0x00000004,0x30200C47
0.0263231200,223,0x00000004,0x30200C47
0.0263272200,224,0x00000004,0x30200C47
0.0263313000,225,0x00000004,0x30200C47
0.0263354000,226,0x00000004,0x30200C47
0.0263697200,227,0x00000004,0x30200C47
0.0263779000,228,0x00000004,0x30200C47
0.0264471200,229,0x09C00004,0x30202210
0.0264634800,230,0x05400014,0x30202707
0.0264675800,231,0x05400014,0x30202707
0.0264716800,232,0x05400014,0x30202707
0.0264921400,233,0x00000004,0x30200C47
0.0264962400,234,0x00000004,0x30200C47
0.0265003400,235,0x00000004,0x30200C47
0.0265044200,236,0x00000004,0x30200C47
0.0267944000,237,0x07800014,0x30200007
0.0267984800,238,0x0800001C,0x30200007
0.0268025800,239,0x00000004,0x30200C47
0.0268066800,240,0x00000004,0x30200C47
0.0268107800,241,0x00000004,0x30200C47
0.0268148600,242,0x00000004,0x30200C47
0.0268189600,243,0x00000004,0x30200C47
0.0268230600,244,0x00000004,0x30200C47
0.0268271400,245,0x00000004,0x30200C47
0.0268312400,246,0x00000004,0x30200C47
0.0268353400,247,0x00000004,0x30200C47
0.0268696400,248,0x00000004,0x30200C47
0.0268778400,249,0x00000004,0x30200C47
0.0269470400,250,0x09C00004,0x30202210
0.0269634000,251,0x05400014,0x30202707
0.0269675000,252,0x05400014,0x30202707
0.0269716000,253,0x05400014,0x30202707
0.0269920600,254,0x00000004,0x30200C47
0.0269961600,255,0x00000004,0x30200C47
0.0270002600,256,0x00000004,0x30200C47
0.0270043400,257,0x00000004,0x30200C47
0.0272944800,258,0x07800014,0x30200007
0.0272985600,259,0x0800001C,0x30200007
0.0273026600,260,0x00000004,0x30200C47
0.0273067600,261,0x00000004,0x30200C47
0.0273108400,262,0x00000004,0x30200C47
0.0273149400,263,0x00000004,0x30200C47
0.0273190400,264,0x00000004,0x30200C47
0.0273231200,265,0x00000004,0x30200C47
0.0273272200,266,0x00000004,0x30200C47
0.0273313200,267,0x00000004,0x30200C47
0.0273354000,268,0x00000004,0x30200C47
0.0273697200,269,0x00000004,0x30200C47
0.0273779000,270,0x00000004,0x30200C47
0.0274471600,271,0x09C00004,0x30202210
0.0274635400,272,0x05400014,0x30202707
0.0274676400,273,0x05400014,0x30202707
0.0274717200,274,0x05400014,0x30202707
0.0274922000,275,0x00000004,0x30200C47
0.0274962800,276,0x00000004,0x30200C47
0.0275003800,277,0x00000004,0x30200C47
0.0275044800,278,0x00000004,0x30200C47
0.0277944000,279,0x07800014,0x30200007
0.0277985000,280,0x0800001C,0x30200007
0.0278025800,281,0x00000004,0x30200C47
0.0278066800,282,0x00000004,0x30200C47
0.0278107800,283,0x00000004,0x30200C47
0.0278148800,284,0x00000004,0x30200C47
0.0278189600,285,0x00000004,0x30200C47
0.0278230600,286,0x00000004,0x30200C47
0.0278271600,287,0x00000004,0x30200C47
0.0278312400,288,0x00000004,0x30200C47
0.0278353400,289,0x00000004,0x30200C47
0.0278696600,290,0x00000004,0x30200C47
0.0278778400,291,0x00000004,0x30200C47
0.0279471000,292,0x09C00004,0x30202210
0.0279634600,293,0x05400014,0x30202707
0.0279675600,294,0x05400014,0x30202707
0.0279716600,295,0x05400014,0x30202707
0.0279921200,296,0x00000004,0x30200C47
0.0279962200,297,0x00000004,0x30200C47
0.0280003000,298,0x00000004,0x30200C47
0.0280044000,299,0x00000004,0x30200C47
0.0282944800,300,0x07800014,0x30200007
0.0282985800,301,0x0800001C,0x30200007
0.0283026600,302,0x00000004,0x30200C47
0.0283067600,303,0x00000004,0x30200C47
0.0283108600,304,0x00000004,0x30200C47
0.0283149400,305,0x00000004,0x30200C47
0.0283190400,306,0x00000004,0x30200C47
0.0283231400,307,0x00000004,0x30200C47
0.0283272200,308,0x00000004,0x30200C47
0.0283313200,309,0x00000004,0x30200C47
0.0283354200,310,0x00000004,0x30200C47
0.0283697200,311,0x00000004,0x30200C47
0.0283779200,312,0x00000004,0x30200C47
0.0284471200,313,0x09C00004,0x30202210
0.0284635000,314,0x05400014,0x30202707
0.0284676000,315,0x05400014,0x30202707
0.0284716800,316,0x05400014,0x30202707
0.0284921600,317,0x00000004,0x30200C47
0.0284962600,318,0x00000004,0x30200C47
0.0285003400,319,0x00000004,0x30200C47
0.0285044400,320,0x00000004,0x30200C47
0.0287944000,321,0x07800014,0x30200007
0.0287985000,322,0x0800001C,0x30200007
0.0288026000,323,0x00000004,0x30200C47
0.0288066800,324,0x00000004,0x30200C47
0.0288107800,325,0x00000004,0x30200C47
0.0288148800,326,0x00000004,0x30200C47
0.0288189800,327,0x00000004,0x30200C47
0.0288230600,328,0x00000004,0x30200C47
0.0288271600,329,0x00000004,0x30200C47
0.0288312600,330,0x00000004,0x30200C47
0.0288353400,331,0x00000004,0x30200C47
0.0288696600,332,0x00000004,0x30200C47
0.0288778400,333,0x00000004,0x30200C47
0.0289471000,334,0x09C00004,0x30202210
0.0289634800,335,0x05400014,0x30202707
0.0289675600,336,0x05400014,0x30202707
0.0289716600,337,0x05400014,0x30202707
0.0289921200,338,0x00000004,0x30200C47
0.0289962200,339,0x00000004,0x30200C47
0.0290003200,340,0x00000004,0x30200C47
0.0290044000,341,0x00000004,0x30200C47
0.0292947200,342,0x07800014,0x30200007
0.0292988200,343,0x0800001C,0x30200007
0.0293029200,344,0x00000004,0x30200C47
0.0293070000,345,0x00000004,0x30200C47
0.0293111000,346,0x00000004,0x30200C47
0.0293152000,347,0x00000004,0x30200C47
0.0293192800,348,0x00000004,0x30200C47
0.0293233800,349,0x00000004,0x30200C47
0.0293274800,350,0x00000004,0x30200C47
0.0293315600,351,0x00000004,0x30200C47
0.0293356600,352,0x00000004,0x30200C47
0.0293699800,353,0x64201050,0x30200007
0.0293781600,354,0x00000004,0x30200C47
0.0294471800,355,0x09C00004,0x30202210
0.0294635400,356,0x05400014,0x30202707
0.0294676400,357,0x05400014,0x30202707
0.0294717400,358,0x05400014,0x30202707
0.0294922000,359,0x00000004,0x30200C47
0.0294963000,360,0x00000004,0x30200C47
0.0295004000,361,0x00000004,0x30200C47
0.0295044800,362,0x00000004,0x30200C47
0.0297947200,363,0x08C00FEC,0x30200007
0.0297988200,364,0x00000004,0x30200C47
0.0298029200,365,0x00000004,0x30200C47
0.0298070000,366,0x00000004,0x30200C47
0.0298111000,367,0x00000004,0x30200C47
0.0298152000,368,0x00000004,0x30200C47
0.0298192800,369,0x00000004,0x30200C47
0.0298233800,370,0x00000004,0x30200C47
0.0298274800,371,0x00000004,0x30200C47
0.0298315800,372,0x00000004,0x30200C47
0.0298356600,373,0x00000004,0x30200C47
0.0298699800,374,0x64601044,0x30200007
0.0298781600,375,0x00000004,0x30200C47
0.0299472000,376,0x09C00004,0x30202210
0.0299635800,377,0x05400014,0x30202707
0.0299676800,378,0x05400014,0x30202707
0.0299717800,379,0x05400014,0x30202707
0.0299922400,380,0x00000004,0x30200C47
0.0299963400,381,0x00000004,0x30200C47
0.0300004200,382,0x00000004,0x30200C47
0.0300045200,383,0x00000004,0x30200C47
0.0302951000,384,0x00000004,0x30200C47
0.0302991800,385,0x00000004,0x30200C47
0.0303032800,386,0x00000004,0x30200C47
0.0303073800,387,0x00000004,0x30200C47
0.0303114800,388,0x00000004,0x30200C47
0.0303155600,389,0x00000004,0x30200C47
0.0303196600,390,0x00000004,0x30200C47
0.0303237600,391,0x00000004,0x30200C47
0.0303278400,392,0x00000004,0x30200C47
0.0303319400,393,0x00000004,0x30200C47
0.0303360400,394,0x00000004,0x30200C47
0.0303703400,395,0x64A01054,0x30200007
0.0303785400,396,0x00000004,0x30200C47
0.0304473400,397,0x09C00004,0x30202210
0.0304637200,398,0x05400014,0x30202707
0.0304678200,399,0x05400014,0x30202707
0.0304719000,400,0x05400014,0x30202707
0.0304923800,401,0x00000004,0x30200C47
0.0304964800,402,0x00000004,0x30200C47
0.0305005600,403,0x00000004,0x30200C47
0.0305046600,404,0x00000004,0x30200C47
0.0307947400,405,0x00000004,0x30200C47
0.0307988200,406,0x00000004,0x30200C47
0.0308029200,407,0x00000004,0x30200C47
0.0308070200,408,0x00000004,0x30200C47
0.0308111000,409,0x00000004,0x30200C47
0.0308152000,410,0x00000004,0x30200C47
0.0308193000,411,0x00000004,0x30200C47
0.0308233800,412,0x00000004,0x30200C47
0.0308274800,413,0x00000004,0x30200C47
0.0308315800,414,0x00000004,0x30200C47
0.0308356800,415,0x00000004,0x30200C47
0.0308699800,416,0x64E01040,0x30200007
0.0308781800,417,0x00000004,0x30200C47
0.0309471400,418,0x09C00004,0x30202210
0.0309635000,419,0x05400014,0x30202707
0.0309676000,420,0x05400014,0x30202707
0.0309717000,421,0x05400014,0x30202707
0.0309921600,422,0x00000004,0x30200C47
0.0309962600,423,0x00000004,0x30200C47
0.0310003400,424,0x00000004,0x30200C47
0.0310044400,425,0x00000004,0x30200C47
0.0312948400,426,0x00000004,0x30200C47
0.0312989400,427,0x00000004,0x30200C47
0.0313030200,428,0x00000004,0x30200C47
0.0313071200,429,0x00000004,0x30200C47
0.0313112200,430,0x00000004,0x30200C47
0.0313153000,431,0x00000004,0x30200C47
0.0313194000,432,0x00000004,0x30200C47
0.0313235000,433,0x00000004,0x30200C47
0.0313276000,434,0x00000004,0x30200C47
0.0313316800,435,0x00000004,0x30200C47
0.0313357800,436,0x00000004,0x30200C47
0.0313701000,437,0x65201058,0x30200007
0.0313782800,438,0x00000004,0x30200C47
0.0314471800,439,0x09C00004,0x30202210
0.0314635600,440,0x05400014,0x30202707
0.0314676600,441,0x05400014,0x30202707
0.0314717400,442,0x05400014,0x30202707
0.0314922200,443,0x00000004,0x30200C47
0.0314963000,444,0x00000004,0x30200C47
0.0315004000,445,0x00000004,0x30200C47
0.0315045000,446,0x00000004,0x30200C47
0.0317947400,447,0x00000004,0x30200C47
0.0317988400,448,0x00000004,0x30200C47
0.0318029200,449,0x00000004,0x30200C47
0.0318070200,450,0x00000004,0x30200C47
0.0318111200,451,0x00000004,0x30200C47
0.0318152000,452,0x00000004,0x30200C47
0.0318193000,453,0x00000004,0x30200C47
0.0318234000,454,0x00000004,0x30200C47
0.0318274800,455,0x00000004,0x30200C47
0.0318315800,456,0x00000004,0x30200C47
0.0318356800,457,0x00000004,0x30200C47
0.0318700000,458,0x6560104C,0x30200007
0.0318781800,459,0x00000004,0x30200C47
0.0319471400,460,0x09C00004,0x30202210
0.0319635200,461,0x05400014,0x30202707
0.0319676000,462,0x05400014,0x30202707
0.0319717000,463,0x05400014,0x30202707
0.0319921600,464,0x00000004,0x30200C47
0.0319962600,465,0x00000004,0x30200C47
0.0320003600,466,0x00000004,0x30200C47
0.0320044400,467,0x00000004,0x30200C47
0.0322948400,468,0x00000004,0x30200C47
0.0322989400,469,0x00000004,0x30200C47
0.0323030400,470,0x00000004,0x30200C47
0.0323071200,471,0x00000004,0x30200C47
0.0323112200,472,0x00000004,0x30200C47
0.0323153200,473,0x00000004,0x30200C47
0.0323194000,474,0x00000004,0x30200C47
0.0323235000,475,0x00000004,0x30200C47
0.0323276000,476,0x00000004,0x30200C47
0.0323317000,477,0x00000004,0x30200C47
0.0323357800,478,0x00000004,0x30200C47
0.0323701000,479,0x65A0105C,0x30200007
0.0323782800,480,0x00000004,0x30200C47
0.0324472200,481,0x09C00004,0x30202210
0.0324636000,482,0x05400014,0x30202707
0.0324677000,483,0x05400014,0x30202707
0.0324717800,484,0x05400014,0x30202707
0.0324922600,485,0x00000004,0x30200C47
0.0324963400,486,0x00000004,0x30200C47
0.0325004400,487,0x00000004,0x30200C47
0.0325045400,488,0x00000004,0x30200C47
0.0327947400,489,0x00000004,0x30200C47
0.0327988400,490,0x00000004,0x30200C47
0.0328029400,491,0x00000004,0x30200C47
0.0328070200,492,0x00000004,0x30200C47
0.0328111200,493,0x00000004,0x30200C47
0.0328152200,494,0x00000004,0x30200C47
0.0328193000,495,0x00000004,0x30200C47
0.0328234000,496,0x00000004,0x30200C47
0.0328275000,497,0x00000004,0x30200C47
0.0328315800,498,0x00000004,0x30200C47
0.0328356800,499,0x00000004,0x30200C47
0.0328700000,500,0x65E01048,0x30200007
0.0328781800,501,0x00000004,0x30200C47
0.0329471600,502,0x09C00004,0x30202210
0.0329635200,503,0x05400014,0x30202707
0.0329676200,504,0x05400014,0x30202707
0.0329717200,505,0x05400014,0x30202707
0.0329921800,506,0x00000004,0x30200C47
0.0329962800,507,0x00000004,0x30200C47
0.0330003800,508,0x00000004,0x30200C47
0.0330044600,509,0x00000004,0x30200C47
0.0332948600,510,0x00000004,0x30200C47
0.0332989400,511,0x00000004,0x30200C47
0.0333030400,512,0x00000004,0x30200C47
0.0333071400,513,0x00000004,0x30200C47
0.0333112200,514,0x00000004,0x30200C47
0.0333153200,515,0x00000004,0x30200C47
0.0333194200,516,0x00000004,0x30200C47
0.0333235000,517,0x00000004,0x30200C47
0.0333276000,518,0x00000004,0x30200C47
0.0333317000,519,0x00000004,0x30200C47
0.0333358000,520,0x00000004,0x30200C47
0.0333701000,521,0x66201040,0x30200007
0.0333783000,522,0x00000004,0x30200C47
0.0334472000,523,0x09C00004,0x30202210
0.0334635800,524,0x05400014,0x30202707
0.0334676600,525,0x05400014,0x30202707
0.0334717600,526,0x05400014,0x30202707
0.0334922400,527,0x00000004,0x30200C47
0.0334963200,528,0x00000004,0x30200C47
0.0335004200,529,0x00000004,0x30200C47
0.0335045000,530,0x00000004,0x30200C47
0.0337947600,531,0x09000014,0x30200801
0.0337988400,532,0x00000004,0x30200C47
0.0338029400,533,0x00000004,0x30200C47
0.0338070400,534,0x00000004,0x30200C47
0.0338111200,535,0x00000004,0x30200C47
0.0338152200,536,0x00000004,0x30200C47
0.0338193200,537,0x00000004,0x30200C47
0.0338234000,538,0x00000004,0x30200C47
0.0338275000,539,0x00000004,0x30200C47
0.0338316000,540,0x00000004,0x30200C47
0.0338356800,541,0x00000004,0x30200C47
0.0338700000,542,0x66601054,0x30200007
0.0338782000,543,0x00000004,0x30200C47
0.0339471400,544,0x09C00004,0x30202210
0.0339635200,545,0x05400014,0x30202707
0.0339676200,546,0x05400014,0x30202707
0.0339717200,547,0x05400014,0x30202707
0.0339921800,548,0x00000004,0x30200C47
0.0339962800,549,0x00000004,0x30200C47
0.0340003600,550,0x00000004,0x30200C47
0.0340044600,551,0x00000004,0x30200C47
0.0342948600,552,0x09000038,0x30200801
0.0342989600,553,0x00000004,0x30200C47
0.0343030400,554,0x00000004,0x30200C47
0.0343071400,555,0x00000004,0x30200C47
0.0343112400,556,0x00000004,0x30200C47
0.0343153200,557,0x00000004,0x30200C47
0.0343194200,558,0x00000004,0x30200C47
0.0343235200,559,0x00000004,0x30200C47
0.0343276000,560,0x00000004,0x30200C47
0.0343317000,561,0x00000004,0x30200C47
0.0343358000,562,0x00000004,0x30200C47
0.0343701000,563,0x00000004,0x30200C47
0.0343783000,564,0x00000004,0x30200C47
0.0344472600,565,0x09C00004,0x30202210
0.0344636400,566,0x05400014,0x30202707
0.0344677400,567,0x05400014,0x30202707
0.0344718200,568,0x05400014,0x30202707
0.0344923000,569,0x00000004,0x30200C47
0.0344964000,570,0x00000004,0x30200C47
0.0345004800,571,0x00000004,0x30200C47
0.0345045800,572,0x00000004,0x30200C47
0.0347947600,573,0x62E03E9C,0x30200485
0.0347988600,574,0x00000004,0x30200C47
0.0348029400,575,0x00000004,0x30200C47
0.0348070400,576,0x00000004,0x30200C47
0.0348111400,577,0x00000004,0x30200C47
0.0348152200,578,0x00000004,0x30200C47
0.0348193200,579,0x00000004,0x30200C47
0.0348234200,580,0x00000004,0x30200C47
0.0348275000,581,0x00000004,0x30200C47
0.0348316000,582,0x00000004,0x30200C47
0.0348357000,583,0x00000004,0x30200C47
0.0348700000,584,0x0303FF28,0x30200007
0.0348782000,585,0x00000004,0x30600C45
0.0349471800,586,0x09C00004,0x30602212
0.0349635600,587,0x05400014,0x30602705
0.0349676600,588,0x05400014,0x30602705
0.0349717400,589,0x05400014,0x30602705
0.0349922200,590,0x00000004,0x30600C45
0.0349963200,591,0x00000004,0x30600C45
0.0350004000,592,0x00000004,0x30600C45
0.0350045000,593,0x00000004,0x30600C45
0.0352995800,594,0x62E03E9C,0x30601F44
0.0353036800,595,0x00000004,0x30600C45
0.0353077800,596,0x00000004,0x30600C45
0.0353118600,597,0x00000004,0x30600C45
0.0353159600,598,0x00000004,0x30600C45
0.0353200600,599,0x00000004,0x30600C45
0.0353241400,600,0x00000004,0x30600C45
0.0353282400,601,0x00000004,0x30600C45
0.0353323400,602,0x00000004,0x30600C45
0.0353364200,603,0x00000004,0x30600C45
0.0353405200,604,0x00000004,0x30600C45
0.0353748400,605,0x00000004,0x30600C45
0.0353830200,606,0x00000004,0x30600C45
0.0354472600,607,0x09C00004,0x30602212
0.0354636200,608,0x05400014,0x30602705
0.0354677200,609,0x05400014,0x30602705
0.0354718200,610,0x05400014,0x30602705
0.0354922800,611,0x00000004,0x30600C45
0.0354963800,612,0x00000004,0x30600C45
0.0355004800,613,0x00000004,0x30600C45
0.0355045600,614,0x00000004,0x30600C45
0.0357948600,615,0x62E03E9C,0x30601F44
0.0357989600,616,0x00000004,0x30600C45
0.0358030600,617,0x00000004,0x30600C45
0.0358071600,618,0x00000004,0x30600C45
0.0358112400,619,0x00000004,0x30600C45
0.0358153400,620,0x00000004,0x30600C45
0.0358194400,621,0x00000004,0x30600C45
0.0358235200,622,0x00000004,0x30600C45
0.0358276200,623,0x00000004,0x30600C45
0.0358317200,624,0x00000004,0x30600C45
0.0358358000,625,0x00000004,0x30600C45
0.0358701200,626,0x00000004,0x30600C45
0.0358783000,627,0x00000004,0x30600C45
0.0359472200,628,0x09C00004,0x30602212
0.0359636000,629,0x05400014,0x30602705
0.0359677000,630,0x05400014,0x30602705
0.0359717800,631,0x05400014,0x30602705
0.0359922600,632,0x00000004,0x30600C45
0.0359963400,633,0x00000004,0x30600C45
0.0360004400,634,0x00000004,0x30600C45
0.0360045400,635,0x00000004,0x30600C45
0.0362948800,636,0x62E03E9C,0x30601F44
0.0362989600,637,0x00000004,0x30600C45
0.0363030600,638,0x00000004,0x30600C45
